Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,Oz,O2,A1
1.427019536495208740e-01,-9.192647784948348999e-02,-3.011665642261505127e-01,1.218578442931175232e-01,-3.080509006977081299e-01,5.166928768157958984e-01,2.428119927644729614e-01,2.087578549981117249e-02,-1.218087598681449890e-01,-4.115560650825500488e-01,9.268873333930969238e-01,3.708024919033050537e-01,-5.568721797317266464e-03,-1.030630022287368774e-01,1.975269168615341187e-01,1.039034649729728699e-01,-5.298900976777076721e-02,4.530701935291290283e-01,3.721392452716827393e-01,-1.221738979220390320e-01,1.718954443931579590e-01
8.826407045125961304e-02,6.944660097360610962e-02,-4.240739345550537109e-01,1.688849329948425293e-01,-2.246143519878387451e-01,3.978778421878814697e-01,1.662623584270477295e-01,1.608616560697555542e-01,-2.072129398584365845e-01,-6.526538729667663574e-02,8.417568802833557129e-01,4.098326265811920166e-01,1.341371089220046997e-01,-1.350130736827850342e-01,1.957461237907409668e-01,1.178644075989723206e-01,1.588623076677322388e-01,3.662946224212646484e-01,2.101705968379974365e-01,-7.102861255407333374e-02,2.398997917771339417e-02
-9.063681215047836304e-02,-1.874622404575347900e-01,-6.166999340057373047e-01,9.573766589164733887e-02,-2.864426374435424805e-01,5.882452130317687988e-01,-3.804233856499195099e-03,2.570284307003021240e-01,-9.200331568717956543e-02,-1.283135712146759033e-01,9.427452087402343750e-01,4.779897630214691162e-01,3.204243956133723259e-03,-1.243432983756065369e-01,2.630140259861946106e-02,7.297513633966445923e-02,5.636218003928661346e-03,1.557596623897552490e-01,3.551378548145294189e-01,-2.622067369520664215e-02,-8.176293224096298218e-03
1.046737730503082275e-01,-1.845930665731430054e-01,-7.254918217658996582e-01,4.040019810199737549e-01,-2.372020781040191650e-01,3.795452415943145752e-01,-1.607443951070308685e-02,4.037743806838989258e-01,-1.139175593852996826e-01,-2.809738814830780029e-01,5.567473769187927246e-01,7.720805406570434570e-01,8.860329538583755493e-02,-3.389689028263092041e-01,3.255597352981567383e-01,-6.017983332276344299e-02,2.438026107847690582e-02,3.171611726284027100e-01,4.158879220485687256e-01,-9.358038008213043213e-02,-1.893159560859203339e-02
1.121211871504783630e-01,-4.146879911422729492e-01,-7.069226503372192383e-01,1.918022334575653076e-01,2.676553837954998016e-02,3.192789554595947266e-01,9.352643974125385284e-03,1.087930426001548767e-01,-2.888542711734771729e-01,-2.802242040634155273e-01,6.910344362258911133e-01,4.862291812896728516e-01,8.679300546646118164e-02,-2.147389501333236694e-01,2.256838530302047729e-01,6.205292791128158569e-02,2.970391511917114258e-02,2.643720507621765137e-01,5.746733546257019043e-01,-1.249761879444122314e-01,-1.936393678188323975e-01
9.349485486745834351e-02,8.151520043611526489e-03,-8.761721253395080566e-01,-1.470768591389060020e-03,-3.307945728302001953e-01,3.778328001499176025e-01,7.846944779157638550e-02,3.231897652149200439e-01,-2.292725443840026855e-01,-2.749595046043395996e-01,6.207208633422851562e-01,6.834154725074768066e-01,1.022606119513511658e-01,-4.750528931617736816e-01,2.300257235765457153e-01,6.418900447897613049e-04,-1.273135542869567871e-01,1.633531004190444946e-01,4.337370991706848145e-01,-5.289654731750488281e-01,-4.433780312538146973e-01
7.889662683010101318e-02,-4.387200772762298584e-01,-7.047206163406372070e-01,7.583553344011306763e-02,-3.164689838886260986e-01,2.976791858673095703e-01,1.897471770644187927e-02,2.995063066482543945e-01,-3.104939758777618408e-01,-3.137744367122650146e-01,4.335476756095886230e-01,4.529068171977996826e-01,1.413308978080749512e-01,-2.883734107017517090e-01,1.974503993988037109e-01,-5.057364329695701599e-02,-3.541865646839141846e-01,-2.295886352658271790e-02,7.010350823402404785e-01,-2.817039787769317627e-01,-3.980451822280883789e-01
3.956870138645172119e-01,-4.178918600082397461e-01,-6.223741769790649414e-01,3.381983563303947449e-02,-2.992952764034271240e-01,2.699671983718872070e-01,1.316688656806945801e-01,3.733969628810882568e-01,-1.048689708113670349e-01,-4.912753105163574219e-01,4.273925125598907471e-01,6.501759290695190430e-01,2.440435886383056641e-01,-3.150420188903808594e-01,4.277074038982391357e-01,-3.222512602806091309e-01,-6.588408946990966797e-01,3.774839267134666443e-02,5.610231757164001465e-01,-2.645629346370697021e-01,-4.130251109600067139e-01
4.299971163272857666e-01,-3.565375804901123047e-01,-5.510891079902648926e-01,1.230156719684600830e-01,-2.686113417148590088e-01,3.565423786640167236e-01,-3.081102371215820312e-01,7.967238128185272217e-02,-3.545776009559631348e-01,-3.356669545173645020e-01,2.363038212060928345e-01,3.851921260356903076e-01,8.948242664337158203e-02,-4.698533713817596436e-01,3.397565186023712158e-01,-1.912413239479064941e-01,-6.284956336021423340e-01,1.687594056129455566e-01,7.387841343879699707e-01,-4.028750061988830566e-01,-3.498018085956573486e-01
5.109993219375610352e-01,-6.989585161209106445e-01,-5.671725869178771973e-01,8.779003471136093140e-02,-4.135856926441192627e-01,1.017899066209793091e-01,-1.120834797620773315e-01,3.530945479869842529e-01,-2.534190118312835693e-01,-6.435820460319519043e-01,-6.904470175504684448e-02,5.343707799911499023e-01,1.492197718471288681e-02,-2.550906240940093994e-01,3.060383498668670654e-01,-3.629640340805053711e-01,-6.484132409095764160e-01,2.444696575403213501e-01,6.546545028686523438e-01,-5.109623670578002930e-01,-3.279285430908203125e-01
3.526175916194915771e-01,-3.453682959079742432e-01,-4.629597365856170654e-01,3.003529608249664307e-01,-1.667823344469070435e-01,1.367025822401046753e-01,-2.460251003503799438e-01,1.670471429824829102e-01,-4.121311604976654053e-01,-5.265046954154968262e-01,1.208227127790451050e-01,6.133424639701843262e-01,-1.933187362737953663e-03,-1.423484832048416138e-01,4.804588258266448975e-01,-3.769167661666870117e-01,-6.378263235092163086e-01,3.650372475385665894e-02,7.609513401985168457e-01,-4.577650725841522217e-01,-2.682625651359558105e-01
5.064787864685058594e-01,-4.563528299331665039e-01,-3.193250894546508789e-01,1.987878978252410889e-01,-2.647118866443634033e-01,1.028852984309196472e-01,-3.544390499591827393e-01,3.194083571434020996e-01,-4.245994091033935547e-01,-3.759727776050567627e-01,-1.179232494905591011e-03,3.654421567916870117e-01,-3.431123495101928711e-02,-3.403047025203704834e-01,3.257701694965362549e-01,-2.091942876577377319e-01,-9.353679418563842773e-01,-1.455108523368835449e-01,8.260573744773864746e-01,-4.577177464962005615e-01,-1.750979870557785034e-01
4.983352124691009521e-01,-4.674901962280273438e-01,-1.078240200877189636e-01,3.020631074905395508e-01,-2.458340227603912354e-01,1.294012069702148438e-01,-3.815573751926422119e-01,1.533696502447128296e-01,-5.291471481323242188e-01,-4.417412281036376953e-01,-7.632808387279510498e-02,4.257783591747283936e-01,-9.288634359836578369e-02,-2.588132210075855255e-02,2.924332022666931152e-01,-6.161575913429260254e-01,-8.767902851104736328e-01,-2.392714768648147583e-01,6.878054738044738770e-01,-4.796703755855560303e-01,-1.977497152984142303e-02
4.499218761920928955e-01,-5.700024962425231934e-01,-3.347162604331970215e-01,5.162208080291748047e-01,-3.251818716526031494e-01,1.928079575300216675e-01,-1.992210745811462402e-01,1.191791221499443054e-01,-6.336466670036315918e-01,-5.100875496864318848e-01,6.034965626895427704e-03,4.406789243221282959e-01,-4.706556499004364014e-01,-2.296602725982666016e-01,3.923136293888092041e-01,-4.832915961742401123e-01,-9.166589379310607910e-01,-1.955148279666900635e-01,7.255737781524658203e-01,-5.314974188804626465e-01,2.352397702634334564e-02
3.916472494602203369e-01,-5.423538088798522949e-01,-1.154498755931854248e-01,5.384522080421447754e-01,-2.694242894649505615e-01,-7.248894125223159790e-02,-3.568025231361389160e-01,-6.452563405036926270e-02,-6.490492224693298340e-01,-5.925568938255310059e-01,6.078587472438812256e-02,5.963349342346191406e-01,-4.498894810676574707e-01,-2.760145068168640137e-01,3.296058773994445801e-01,-2.401082962751388550e-01,-9.634240865707397461e-01,-6.150270253419876099e-02,8.942276239395141602e-01,-4.993858635425567627e-01,2.478204816579818726e-01
