Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,Oz,O2,A1
1.343259906768798828e+01,1.284560012817382812e+01,1.489607524871826172e+01,1.321658134460449219e+01,3.507521820068359375e+01,8.525874137878417969e+00,9.498368263244628906e+00,-2.403972387313842773e+00,1.703297042846679688e+01,1.109265136718750000e+01,-6.419703960418701172e+00,-1.434212779998779297e+01,-2.525051116943359375e+00,-7.304385185241699219e+00,-1.379357147216796875e+01,-1.465740299224853516e+01,1.339023399353027344e+01,1.349550437927246094e+01,-2.338279485702514648e+00,2.619263887405395508e+00,2.581101059913635254e-01
1.370374488830566406e+01,1.323006057739257812e+01,1.481939983367919922e+01,1.408752822875976562e+01,3.395089340209960938e+01,9.817659378051757812e+00,8.260447502136230469e+00,-2.838387250900268555e+00,1.567356777191162109e+01,1.027134513854980469e+01,-6.835691452026367188e+00,-1.452271747589111328e+01,-2.751718997955322266e+00,-8.726244926452636719e+00,-1.266992092132568359e+01,-1.483978271484375000e+01,1.414019870758056641e+01,1.287477779388427734e+01,-2.886752605438232422e+00,1.342671632766723633e+00,1.722112298011779785e-01
1.363197040557861328e+01,1.303966140747070312e+01,1.458937168121337891e+01,1.442310428619384766e+01,3.198286056518554688e+01,1.055283737182617188e+01,7.127954959869384766e+00,-3.042227983474731445e+00,1.430517387390136719e+01,9.488729476928710938e+00,-7.026025295257568359e+00,-1.405490303039550781e+01,-2.725246906280517578e+00,-9.661542892456054688e+00,-1.087732601165771484e+01,-1.406279468536376953e+01,1.438508510589599609e+01,1.195823478698730469e+01,-3.187220335006713867e+00,2.271653115749359131e-01,9.191558510065078735e-02
1.316623973846435547e+01,1.227989292144775391e+01,1.408330917358398438e+01,1.410692596435546875e+01,2.931512641906738281e+01,1.057183361053466797e+01,6.199514389038085938e+00,-2.995445013046264648e+00,1.298353290557861328e+01,8.781738281250000000e+00,-6.941650390625000000e+00,-1.291460418701171875e+01,-2.397653818130493164e+00,-1.005010509490966797e+01,-8.511974334716796875e+00,-1.237140846252441406e+01,1.401392936706542969e+01,1.076365852355957031e+01,-3.244452238082885742e+00,-6.750258803367614746e-01,2.259022742509841919e-02
1.226189136505126953e+01,1.097272586822509766e+01,1.315808486938476562e+01,1.304588317871093750e+01,2.619507598876953125e+01,9.751170158386230469e+00,5.558448791503906250e+00,-2.739808559417724609e+00,1.171943187713623047e+01,8.116954803466796875e+00,-6.582566738128662109e+00,-1.116889858245849609e+01,-1.762321710586547852e+00,-9.933192253112792969e+00,-5.766243934631347656e+00,-9.938011169433593750e+00,1.293681144714355469e+01,9.265184402465820312e+00,-3.123629331588745117e+00,-1.346308827400207520e+00,-3.223493695259094238e-02
1.086629199981689453e+01,9.123651504516601562e+00,1.166034603118896484e+01,1.117402744293212891e+01,2.292363929748535156e+01,8.022457122802734375e+00,5.257471084594726562e+00,-2.383922576904296875e+00,1.047870731353759766e+01,7.394134998321533203e+00,-5.980169773101806641e+00,-8.960536956787109375e+00,-8.688860535621643066e-01,-9.429437637329101562e+00,-2.891533613204956055e+00,-7.022431850433349609e+00,1.108103084564208984e+01,7.401386737823486328e+00,-2.940804958343505859e+00,-1.805926084518432617e+00,-7.118206471204757690e-02
8.918833732604980469e+00,6.705209732055664062e+00,9.452075958251953125e+00,8.450621604919433594e+00,1.977958869934082031e+01,5.374297142028808594e+00,5.306783676147460938e+00,-2.079832077026367188e+00,9.193029403686523438e+00,6.467307567596435547e+00,-5.201173782348632812e+00,-6.495910167694091797e+00,1.850371658802032471e-01,-8.714209556579589844e+00,-1.589194089174270630e-01,-3.899488449096679688e+00,8.391105651855468750e+00,5.093057632446289062e+00,-2.824751138687133789e+00,-2.099509239196777344e+00,-9.505160897970199585e-02
6.366880893707275391e+00,3.673460483551025391e+00,6.425928115844726562e+00,4.867907524108886719e+00,1.694754219055175781e+01,1.859881162643432617e+00,5.658774852752685547e+00,-1.992949247360229492e+00,7.758103847503662109e+00,5.169397354125976562e+00,-4.324068069458007812e+00,-4.008924007415771484e+00,1.243923902511596680e+00,-7.969753742218017578e+00,2.180198431015014648e+00,-8.040273785591125488e-01,4.842164993286132812e+00,2.267456293106079102e+00,-2.901060581207275391e+00,-2.282036781311035156e+00,-1.062712147831916809e-01
3.197674989700317383e+00,4.604874644428491592e-03,2.569122791290283203e+00,4.763190746307373047e-01,1.449765777587890625e+01,-2.372615814208984375e+00,6.216518878936767578e+00,-2.260281324386596680e+00,6.066043376922607422e+00,3.366744279861450195e+00,-3.431264162063598633e+00,-1.723167061805725098e+00,2.124123573303222656e+00,-7.347367286682128906e+00,3.935629844665527344e+00,2.104057312011718750e+00,4.648190438747406006e-01,-1.102897882461547852e+00,-3.277837514877319336e+00,-2.402438879013061523e+00,-1.082395687699317932e-01
-5.361505150794982910e-01,-4.255588531494140625e+00,-2.036551952362060547e+00,-4.594181060791015625e+00,1.239300823211669922e+01,-7.085732936859130859e+00,6.850782871246337891e+00,-2.955345153808593750e+00,4.043122768402099609e+00,9.960357546806335449e-01,-2.595364570617675781e+00,1.773306429386138916e-01,2.645294427871704102e+00,-6.943332195281982422e+00,5.002442359924316406e+00,4.754811286926269531e+00,-4.624228477478027344e+00,-4.969510555267333984e+00,-4.031392097473144531e+00,-2.489304304122924805e+00,-1.045390665531158447e-01
