Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,Oz,O2,A1
-1.657868623733520508e-01,-4.736874252557754517e-02,-6.692930310964584351e-02,-6.361008435487747192e-02,1.840424239635467529e-01,-2.757995426654815674e-01,2.446192316710948944e-02,4.867768883705139160e-01,-1.523915529251098633e-01,3.698768615722656250e-01,-5.643234848976135254e-01,-6.434885412454605103e-02,7.282498478889465332e-01,3.556813597679138184e-01,2.225158549845218658e-02,-5.957328081130981445e-01,-1.117425858974456787e-01,-2.933167219161987305e-01,-1.595210433006286621e-01,7.535172253847122192e-02,-5.176386237144470215e-01
-3.544577360153198242e-01,1.428911983966827393e-01,1.927750557661056519e-01,1.119682192802429199e-02,1.587818115949630737e-01,-5.345532894134521484e-01,6.567724794149398804e-02,3.582684993743896484e-01,-2.050848901271820068e-01,5.127096176147460938e-01,-3.518062233924865723e-01,-2.474868148565292358e-01,6.353608369827270508e-01,5.527942776679992676e-01,2.095150994136929512e-03,-5.267615318298339844e-01,3.190662711858749390e-02,-3.781593739986419678e-01,-3.241522312164306641e-01,8.347937464714050293e-02,-5.104096531867980957e-01
-3.490997552871704102e-01,1.195316165685653687e-01,1.397051513195037842e-01,2.786841243505477905e-02,6.549860537052154541e-02,-4.123744368553161621e-01,-4.834937676787376404e-02,3.353624939918518066e-01,-4.825335144996643066e-01,3.118429183959960938e-01,-4.896051585674285889e-01,6.180801615118980408e-02,6.763862371444702148e-01,5.105457305908203125e-01,-7.794564124196767807e-03,-5.483582019805908203e-01,-6.042828410863876343e-02,-5.730541944503784180e-01,-2.974457740783691406e-01,1.785125583410263062e-01,-5.497627258300781250e-01
-4.925403892993927002e-01,2.746343426406383514e-02,1.727942824363708496e-01,-1.689374446868896484e-01,-1.392001360654830933e-01,-5.398331880569458008e-01,-1.263820976018905640e-01,8.676408231258392334e-02,-2.679226696491241455e-01,4.243969321250915527e-01,-3.805683553218841553e-01,1.434087455272674561e-01,9.631137847900390625e-01,3.804397881031036377e-01,-1.512330770492553711e-01,-6.834886670112609863e-01,-1.850854307413101196e-01,-6.319037675857543945e-01,-5.682338476181030273e-01,7.293667644262313843e-02,-6.755957603454589844e-01
-2.265032231807708740e-01,8.069164305925369263e-02,1.733131855726242065e-01,8.674349635839462280e-02,-7.779017835855484009e-02,-6.772078871726989746e-01,-2.037374377250671387e-01,6.281401216983795166e-02,-3.683769404888153076e-01,4.968113005161285400e-01,-3.347685635089874268e-01,1.469474732875823975e-01,8.536769151687622070e-01,2.027336806058883667e-01,-1.079109907150268555e-01,-7.756953835487365723e-01,-1.440735459327697754e-01,-6.144827008247375488e-01,-4.005780220031738281e-01,2.780233621597290039e-01,-5.581855177879333496e-01
-4.363628923892974854e-01,8.273026347160339355e-02,2.736238837242126465e-01,-1.235472708940505981e-01,-2.689128220081329346e-01,-5.339847207069396973e-01,-2.172269374132156372e-01,5.320284143090248108e-02,-5.990930795669555664e-01,3.650915324687957764e-01,-1.852768063545227051e-01,3.086983263492584229e-01,7.004612088203430176e-01,1.083101257681846619e-01,-1.274453103542327881e-01,-6.491755247116088867e-01,-6.973831355571746826e-02,-5.302234888076782227e-01,-4.922404289245605469e-01,3.234529793262481689e-01,-4.500251114368438721e-01
-4.574127495288848877e-01,-2.668293938040733337e-02,2.960441112518310547e-01,2.594463229179382324e-01,-2.768050134181976318e-01,-6.020402312278747559e-01,-3.232650756835937500e-01,-1.984494924545288086e-01,-5.294239521026611328e-01,1.321049183607101440e-01,-3.758294880390167236e-01,4.548175632953643799e-01,6.847714185714721680e-01,4.938952624797821045e-02,-1.601938158273696899e-01,-6.290580034255981445e-01,-2.408531866967678070e-02,-5.628708004951477051e-01,-2.430800497531890869e-01,8.192461729049682617e-02,-5.365473031997680664e-01
-4.776820838451385498e-01,-1.024756431579589844e-01,4.625421166419982910e-01,1.958195865154266357e-01,-3.595422804355621338e-01,-7.467638254165649414e-01,-3.192129135131835938e-01,-2.983683049678802490e-01,-6.889778971672058105e-01,2.709939181804656982e-01,-1.698472201824188232e-01,5.394686460494995117e-01,8.368810415267944336e-01,1.210737153887748718e-01,-1.096472814679145813e-01,-6.923526525497436523e-01,4.344245791435241699e-02,-5.686620473861694336e-01,-4.716921448707580566e-01,3.312818109989166260e-01,-4.347405731678009033e-01
-3.975789248943328857e-01,-2.564083971083164215e-02,6.096493005752563477e-01,2.021193206310272217e-01,-2.691860795021057129e-01,-8.501061201095581055e-01,-4.698128700256347656e-01,-3.418672382831573486e-01,-7.538048028945922852e-01,4.910674989223480225e-01,-4.444767832756042480e-01,6.769831776618957520e-01,9.941123127937316895e-01,-1.990299373865127563e-01,2.458481816574931145e-03,-6.072049736976623535e-01,2.281323224306106567e-01,-4.124209880828857422e-01,-1.947749257087707520e-01,1.020760163664817810e-01,-3.745977878570556641e-01
-6.698688864707946777e-01,-1.700004339218139648e-01,7.948405146598815918e-01,4.889622032642364502e-01,-4.764272272586822510e-01,-9.109710454940795898e-01,-4.392797052860260010e-01,-5.288507938385009766e-01,-5.428208112716674805e-01,3.211740553379058838e-01,-2.053790837526321411e-01,8.483095765113830566e-01,9.918743968009948730e-01,-2.323333770036697388e-01,-6.823400035500526428e-03,-5.198690891265869141e-01,3.516377806663513184e-01,-4.592458605766296387e-01,-4.443771243095397949e-01,2.910847961902618408e-01,-2.688927948474884033e-01
-4.646433591842651367e-01,-3.097983598709106445e-01,7.394914031028747559e-01,2.107386291027069092e-01,-2.337992489337921143e-01,-5.912629365921020508e-01,-4.892652928829193115e-01,-4.460853338241577148e-01,-6.102828979492187500e-01,3.127446472644805908e-01,-3.438530722633004189e-03,7.277922034263610840e-01,7.863305211067199707e-01,-2.226695865392684937e-01,1.221895888447761536e-01,-7.426466941833496094e-01,3.782049417495727539e-01,-4.913071393966674805e-01,-2.337395399808883667e-01,3.386165201663970947e-01,-3.700664043426513672e-01
-5.727786421775817871e-01,-2.974593937397003174e-01,7.305186986923217773e-01,4.322865903377532959e-01,-4.050615429878234863e-01,-6.406884193420410156e-01,-3.844493627548217773e-01,-3.518137633800506592e-01,-6.210241317749023438e-01,2.995130419731140137e-01,-2.519085109233856201e-01,7.878919839859008789e-01,6.059230566024780273e-01,-2.455966621637344360e-01,2.372993379831314087e-01,-5.406920313835144043e-01,3.404431343078613281e-01,-3.899517953395843506e-01,-3.896891772747039795e-01,2.864600718021392822e-01,-2.189689576625823975e-01
-4.043250977993011475e-01,-3.612859547138214111e-01,9.841706156730651855e-01,4.739781618118286133e-01,-3.461123108863830566e-01,-6.578054428100585938e-01,-3.650032579898834229e-01,-5.595160722732543945e-01,-6.335523128509521484e-01,-2.116416022181510925e-02,-8.650364726781845093e-02,7.602062821388244629e-01,6.375126838684082031e-01,-3.770820498466491699e-01,1.915328949689865112e-01,-6.340575218200683594e-01,3.857961893081665039e-01,-1.574148088693618774e-01,-2.590287923812866211e-01,2.741681039333343506e-01,-1.064636856317520142e-01
-2.988366186618804932e-01,-4.635612070560455322e-01,1.086991310119628906e+00,2.319039255380630493e-01,-3.218629956245422363e-01,-6.625820398330688477e-01,-2.270848751068115234e-01,-5.969619154930114746e-01,-6.824792623519897461e-01,-3.651696443557739258e-02,-1.293118298053741455e-02,9.673811793327331543e-01,3.986133635044097900e-01,-3.074817359447479248e-01,2.962787449359893799e-01,-5.460968613624572754e-01,6.398873329162597656e-01,-3.771167993545532227e-01,-2.011031657457351685e-01,-5.105334892868995667e-02,2.038191631436347961e-02
-2.164568305015563965e-01,-4.046197533607482910e-01,1.153239130973815918e+00,2.058098763227462769e-01,-6.888493895530700684e-01,-6.455680727958679199e-01,-2.277258783578872681e-01,-3.902325034141540527e-01,-5.346941947937011719e-01,-2.437127195298671722e-02,-3.465612605214118958e-02,1.152870893478393555e+00,4.929097592830657959e-01,-4.572705626487731934e-01,3.931963741779327393e-01,-5.918787717819213867e-01,7.568041086196899414e-01,-2.074981853365898132e-02,-1.391510665416717529e-02,1.590220034122467041e-01,-6.475005298852920532e-02
-1.671905964612960815e-01,-5.214038491249084473e-01,1.118821501731872559e+00,2.881803214550018311e-01,-5.859315991401672363e-01,-5.677680373191833496e-01,-2.454305142164230347e-01,-6.218146681785583496e-01,-6.033768057823181152e-01,-2.857770621776580811e-01,1.926461607217788696e-02,8.985452055931091309e-01,4.404665529727935791e-01,-5.782159566879272461e-01,5.002174377441406250e-01,-2.276835888624191284e-01,5.702612400054931641e-01,9.445077925920486450e-02,2.595374546945095062e-02,8.952809497714042664e-03,1.760639846324920654e-01
-1.433689706027507782e-02,-4.331084191799163818e-01,1.093703269958496094e+00,2.499955296516418457e-01,-6.922689676284790039e-01,-4.594738781452178955e-01,-3.309873864054679871e-02,-4.395607411861419678e-01,-4.046232998371124268e-01,-4.548515081405639648e-01,-1.399434506893157959e-01,8.407796025276184082e-01,4.632796347141265869e-01,-5.747155547142028809e-01,6.186214685440063477e-01,-1.771557480096817017e-01,7.632459402084350586e-01,-1.025117635726928711e-01,2.046331614255905151e-01,7.852530479431152344e-02,8.339715003967285156e-02
1.449308991432189941e-01,-7.490030527114868164e-01,1.022516250610351562e+00,2.423651814460754395e-01,-5.276650786399841309e-01,-3.216969668865203857e-01,3.347184136509895325e-02,-4.834596812725067139e-01,-3.746733665466308594e-01,-4.238679409027099609e-01,1.198286414146423340e-01,9.274962544441223145e-01,1.642388552427291870e-01,-8.747833967208862305e-01,6.203360557556152344e-01,-1.689995378255844116e-01,6.380744576454162598e-01,-4.797228425741195679e-02,1.234315410256385803e-01,1.304057985544204712e-01,2.253308296203613281e-01
