Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,Oz,O2,A1
1.598808765411376953e+00,-1.123692703247070312e+01,3.515570878982543945e+00,9.868972897529602051e-01,-6.192106246948242188e+00,3.338693380355834961e-01,2.221749305725097656e+00,-4.651283740997314453e+00,3.184165716171264648e+00,-1.382828056812286377e-01,-6.829638004302978516e+00,-1.097215938568115234e+01,9.089007377624511719e-01,-2.919764518737792969e+00,-3.954270362854003906e+00,-9.327915906906127930e-01,-5.303439870476722717e-02,-7.375938415527343750e+00,-2.228790283203125000e+00,-1.908104324340820312e+01,-1.973433047533035278e-02
2.351095676422119141e+00,-1.116716384887695312e+01,3.272245407104492188e+00,1.297119140625000000e+00,-5.664792537689208984e+00,3.529476225376129150e-01,1.906792402267456055e+00,-4.782235622406005859e+00,2.410245895385742188e+00,-5.145961046218872070e-01,-6.992361545562744141e+00,-1.058229064941406250e+01,3.022599266842007637e-03,-2.912059307098388672e+00,-4.580422878265380859e+00,-1.818734645843505859e+00,-1.574412882328033447e-01,-8.192423820495605469e+00,-1.378682136535644531e+00,-2.052593994140625000e+01,-2.744827046990394592e-02
2.899585962295532227e+00,-1.118881416320800781e+01,2.727528333663940430e+00,1.145429730415344238e+00,-5.349337577819824219e+00,3.112580478191375732e-01,1.501272916793823242e+00,-5.151982307434082031e+00,1.409451007843017578e+00,-1.173423647880554199e+00,-7.177556514739990234e+00,-1.004136657714843750e+01,-1.096972346305847168e+00,-3.076066017150878906e+00,-5.320421218872070312e+00,-2.766896486282348633e+00,-5.692684650421142578e-01,-9.112622261047363281e+00,-7.122657299041748047e-01,-2.187683486938476562e+01,-3.459049016237258911e-02
3.112188816070556641e+00,-1.135720825195312500e+01,1.876811146736145020e+00,5.295481681823730469e-01,-5.326005458831787109e+00,2.625024318695068359e-01,9.830531477928161621e-01,-5.738269805908203125e+00,2.082851976156234741e-01,-2.132631778717041016e+00,-7.410794258117675781e+00,-9.481739997863769531e+00,-2.361427307128906250e+00,-3.442604541778564453e+00,-6.198093891143798828e+00,-3.647429227828979492e+00,-1.304950356483459473e+00,-1.013856697082519531e+01,-2.541044950485229492e-01,-2.316102027893066406e+01,-3.974449634552001953e-02
2.909650087356567383e+00,-1.169159126281738281e+01,7.717081308364868164e-01,-4.615650773048400879e-01,-5.619994163513183594e+00,2.526099979877471924e-01,3.481082022190093994e-01,-6.471771717071533203e+00,-1.122220635414123535e+00,-3.356487512588500977e+00,-7.693623542785644531e+00,-9.022817611694335938e+00,-3.747205018997192383e+00,-4.013875961303710938e+00,-7.222707271575927734e+00,-4.345362663269042969e+00,-2.315183639526367188e+00,-1.121941852569580078e+01,7.356252172030508518e-05,-2.440426826477050781e+01,-4.203137382864952087e-02
2.283163547515869141e+00,-1.214384937286376953e+01,-4.873165488243103027e-01,-1.671658515930175781e+00,-6.197705745697021484e+00,3.084316253662109375e-01,-3.894744515419006348e-01,-7.260050296783447266e+00,-2.483471393585205078e+00,-4.769058227539062500e+00,-8.002798080444335938e+00,-8.739407539367675781e+00,-5.199036598205566406e+00,-4.774470806121826172e+00,-8.392937660217285156e+00,-4.807946681976318359e+00,-3.497494935989379883e+00,-1.226875019073486328e+01,7.696776092052459717e-02,-2.561870765686035156e+01,-4.126339033246040344e-02
1.295629501342773438e+00,-1.261054134368896484e+01,-1.775835275650024414e+00,-2.911405324935913086e+00,-6.977010250091552734e+00,4.370333850383758545e-01,-1.193469762802124023e+00,-8.004678726196289062e+00,-3.766269683837890625e+00,-6.270961761474609375e+00,-8.306549072265625000e+00,-8.657405853271484375e+00,-6.661652565002441406e+00,-5.682561397552490234e+00,-9.682308197021484375e+00,-5.040591239929199219e+00,-4.721375942230224609e+00,-1.318081378936767578e+01,5.413437262177467346e-03,-2.678918075561523438e+01,-3.792694211006164551e-02
6.278462707996368408e-02,-1.296898078918457031e+01,-2.966655015945434570e+00,-4.002884387969970703e+00,-7.841244220733642578e+00,6.094444990158081055e-01,-2.018596410751342773e+00,-8.623490333557128906e+00,-4.866720199584960938e+00,-7.754998683929443359e+00,-8.561483383178710938e+00,-8.750916481018066406e+00,-8.071694374084472656e+00,-6.672105312347412109e+00,-1.103786945343017578e+01,-5.124451637268066406e+00,-5.853416919708251953e+00,-1.385698223114013672e+01,-1.846861094236373901e-01,-2.785958671569824219e+01,-3.296066448092460632e-02
-1.284538745880126953e+00,-1.312534618377685547e+01,-3.959312200546264648e+00,-4.817216873168945312e+00,-8.670013427734375000e+00,7.691367864608764648e-01,-2.808504104614257812e+00,-9.063420295715332031e+00,-5.706369876861572266e+00,-9.124019622802734375e+00,-8.728856086730957031e+00,-8.963833808898925781e+00,-9.369850158691406250e+00,-7.661648750305175781e+00,-1.238019180297851562e+01,-5.174497127532958984e+00,-6.795012474060058594e+00,-1.422607803344726562e+01,-4.655635356903076172e-01,-2.874805450439453125e+01,-2.754213474690914154e-02
-2.638152122497558594e+00,-1.307723426818847656e+01,-4.694818496704101562e+00,-5.308781623840332031e+00,-9.360653877258300781e+00,8.299046754837036133e-01,-3.511874198913574219e+00,-9.310773849487304688e+00,-6.238572120666503906e+00,-1.030655956268310547e+01,-8.781547546386718750e+00,-9.248682022094726562e+00,-1.050085067749023438e+01,-8.565336227416992188e+00,-1.361264038085937500e+01,-5.320576667785644531e+00,-7.499759197235107422e+00,-1.426064872741699219e+01,-8.083834648132324219e-01,-2.937877464294433594e+01,-2.278918772935867310e-02
