Fp1,Fp2,F7,F3,Fz,F4,F8,FT7,FC3,FCz,FC4,FT8,T3,C3,Cz,C4,T4,TP7,CP3,CPz,CP4,TP8,T5,P3,Pz,P4,T6,O1,Oz,O2,A1,A2
3.029225587844848633e+00,7.613688468933105469e+00,9.976173400878906250e+00,1.065928173065185547e+01,7.145054817199707031e+00,3.204309701919555664e+00,2.655103445053100586e+00,6.002617359161376953e+00,5.844305038452148438e+00,5.034985542297363281e+00,2.993363618850708008e+00,2.620088100433349609e+00,2.812340855598449707e-02,-5.282834529876708984e+00,-7.457891941070556641e+00,-3.247265145182609558e-02,3.523993015289306641e+00,3.346705198287963867e+00,3.285443782806396484e+00,5.463976860046386719e+00,6.630398273468017578e+00,4.711034297943115234e+00,3.909980058670043945e+00,2.521264076232910156e+00,5.148219585418701172e+00,5.481323719024658203e+00,7.083605766296386719e+00,4.900069236755371094e+00,4.196909427642822266e+00,4.087824344635009766e+00,5.260261058807373047e+00,8.526691436767578125e+00
4.717812538146972656e+00,8.343677520751953125e+00,9.363201141357421875e+00,8.642349243164062500e+00,8.219170570373535156e+00,3.778480052947998047e+00,3.382234096527099609e+00,5.402398586273193359e+00,7.812806606292724609e+00,8.509925842285156250e+00,3.646117448806762695e+00,-2.854207992553710938e+00,-2.330008983612060547e+00,2.424701452255249023e+00,5.394180774688720703e+00,9.298196792602539062e+00,7.137898921966552734e+00,9.724956512451171875e+00,1.254740619659423828e+01,1.191022586822509766e+01,8.829268455505371094e+00,5.975310325622558594e+00,7.726659774780273438e+00,4.435945987701416016e+00,3.743038654327392578e+00,4.247043609619140625e+00,8.130564689636230469e+00,7.223262786865234375e+00,4.243094921112060547e+00,5.604763507843017578e+00,8.080752372741699219e+00,1.139928627014160156e+01
-2.044034481048583984e+00,-3.932255268096923828e+00,-8.926045894622802734e-01,-1.537652015686035156e+00,-2.379571914672851562e+00,-4.718008041381835938e+00,-4.079558372497558594e+00,-2.032657623291015625e+00,-3.804754316806793213e-01,-1.186173796653747559e+00,-4.602955818176269531e+00,-8.330146789550781250e+00,-4.430965423583984375e+00,5.230264663696289062e+00,7.647441864013671875e+00,3.759961366653442383e+00,-1.543663263320922852e+00,4.846030771732330322e-01,3.782496213912963867e+00,3.877980709075927734e+00,2.561695575714111328e+00,-8.156920075416564941e-01,-1.292455673217773438e+00,-4.858273506164550781e+00,-5.538843631744384766e+00,-3.697101593017578125e+00,-1.517451763153076172e+00,-1.824008822441101074e+00,-1.720013976097106934e+00,-9.393217563629150391e-01,-1.923170804977416992e+00,-9.592162072658538818e-02
-2.721132040023803711e+00,-3.931212902069091797e+00,-3.365359067916870117e+00,-1.546018958091735840e+00,-2.030076742172241211e+00,-3.614962339401245117e+00,-6.031002998352050781e+00,-3.237370729446411133e+00,-6.246505737304687500e+00,-9.641066551208496094e+00,-1.015153026580810547e+01,-8.730077743530273438e+00,-7.689625740051269531e+00,-8.290840148925781250e+00,-8.450795173645019531e+00,-8.682544708251953125e+00,-8.757013320922851562e+00,-9.422866821289062500e+00,-1.046758270263671875e+01,-8.886979103088378906e+00,-8.241850852966308594e+00,-7.622526168823242188e+00,-9.875420570373535156e+00,-8.319136619567871094e+00,-4.302714824676513672e+00,-1.724130988121032715e+00,-6.210601329803466797e+00,-6.971123218536376953e+00,-3.740487337112426758e+00,-4.222527980804443359e+00,-8.574540138244628906e+00,-5.074687480926513672e+00
-3.566891193389892578e+00,1.416054844856262207e+00,-1.711775302886962891e+00,-1.436638951301574707e+00,1.370635271072387695e+00,1.801461338996887207e+00,-2.641733169555664062e+00,-2.896714925765991211e+00,-3.156193256378173828e+00,-5.931157588958740234e+00,-7.553762435913085938e+00,-9.117809295654296875e+00,-9.487621307373046875e+00,-1.317875099182128906e+01,-1.528514099121093750e+01,-1.045342063903808594e+01,-8.545640945434570312e+00,-9.499328613281250000e+00,-1.161821842193603516e+01,-1.100525569915771484e+01,-1.366472053527832031e+01,-1.154929828643798828e+01,-1.067876434326171875e+01,-5.154655933380126953e+00,-7.393864989280700684e-01,1.359557390213012695e+00,-6.778780937194824219e+00,-7.027918338775634766e+00,-3.215407848358154297e+00,-1.862445592880249023e+00,-3.655375003814697266e+00,3.380638599395751953e+00
-7.000923633575439453e+00,-2.260702371597290039e+00,-1.910819053649902344e+00,-2.857814073562622070e+00,-1.676345825195312500e+00,-1.991112589836120605e+00,-4.431795597076416016e+00,-4.966123580932617188e+00,-1.474548101425170898e+00,-3.323443651199340820e+00,-6.030622482299804688e+00,-1.020895099639892578e+01,-7.730425357818603516e+00,-3.113903999328613281e+00,-3.994322299957275391e+00,-5.669105052947998047e+00,-8.515697479248046875e+00,-8.172391891479492188e+00,-6.481520175933837891e+00,-6.640792846679687500e+00,-8.286959648132324219e+00,-1.056869316101074219e+01,-8.876575469970703125e+00,-1.063037300109863281e+01,-1.159134006500244141e+01,-7.738722801208496094e+00,-7.466770648956298828e+00,-6.926268100738525391e+00,-4.450296401977539062e+00,-2.182200431823730469e+00,-2.231638431549072266e+00,3.124293565750122070e+00
-7.561289787292480469e+00,-8.501630783081054688e+00,-1.774062037467956543e+00,-7.432709336280822754e-01,-7.048484802246093750e+00,-9.820152282714843750e+00,-9.639071464538574219e+00,-5.917750358581542969e+00,-4.899134159088134766e+00,-7.111564636230468750e+00,-9.427898406982421875e+00,-9.055262565612792969e+00,-5.969851493835449219e+00,-1.454661250114440918e+00,-1.347477555274963379e+00,-4.869957923889160156e+00,-8.181812286376953125e+00,-7.680171012878417969e+00,-5.442683219909667969e+00,-6.270876407623291016e+00,-5.521894454956054688e+00,-7.845327854156494141e+00,-7.115877628326416016e+00,-1.459277629852294922e+01,-1.792797660827636719e+01,-1.466261005401611328e+01,-8.365235328674316406e+00,-8.170012474060058594e+00,-9.243277549743652344e+00,-8.981122016906738281e+00,-8.064916610717773438e+00,-2.613634109497070312e+00
-1.008050441741943359e+01,-9.207056045532226562e+00,-3.067171335220336914e+00,-4.010089397430419922e+00,-1.288991451263427734e+01,-1.253452682495117188e+01,-1.074432659149169922e+01,-7.178278923034667969e+00,-6.337778091430664062e+00,-5.603093147277832031e+00,-7.549490451812744141e+00,-5.037424564361572266e+00,-2.863815069198608398e+00,-2.744421720504760742e+00,-3.962587833404541016e+00,-1.839181780815124512e+00,-1.623849153518676758e+00,-1.915372490882873535e+00,-4.333857059478759766e+00,-5.635978221893310547e+00,-6.246983528137207031e+00,-5.397855281829833984e+00,-5.436667442321777344e+00,-7.420656681060791016e+00,-8.444735527038574219e+00,-9.298767089843750000e+00,-9.190044403076171875e+00,-1.012883281707763672e+01,-1.176812744140625000e+01,-1.282586383819580078e+01,-1.021931362152099609e+01,1.455630064010620117e-01
-8.745719909667968750e+00,-7.601770877838134766e+00,-5.437019348144531250e+00,-8.439288139343261719e+00,-1.225378417968750000e+01,-1.001754856109619141e+01,-8.454510688781738281e+00,-9.267073631286621094e+00,-6.088950157165527344e+00,-1.987079977989196777e+00,-2.674106359481811523e+00,-5.270595073699951172e+00,-4.131619930267333984e+00,-3.693830728530883789e+00,-4.713459014892578125e+00,-3.752224206924438477e+00,-3.518975019454956055e+00,-3.528138160705566406e+00,-5.077282905578613281e+00,-3.992626905441284180e+00,-5.330946445465087891e+00,-5.090505123138427734e+00,-5.069005489349365234e+00,-3.388518810272216797e+00,-4.257104396820068359e+00,-4.422759532928466797e+00,-5.718334674835205078e+00,-6.493922710418701172e+00,-6.247305870056152344e+00,-7.512068748474121094e+00,-6.736632347106933594e+00,2.931608915328979492e+00
-1.136754631996154785e+00,-7.710332870483398438e+00,-5.865160465240478516e+00,-4.905938625335693359e+00,-4.697424888610839844e+00,-6.354768753051757812e+00,-6.139329910278320312e+00,-6.202281951904296875e+00,-5.975415706634521484e+00,-5.063022613525390625e+00,-2.925344944000244141e+00,-4.411643981933593750e+00,-4.667174339294433594e+00,-4.620251178741455078e+00,-3.866051912307739258e+00,-6.558808803558349609e+00,-8.143882751464843750e+00,-8.248023033142089844e+00,-6.891333103179931641e+00,-4.454034805297851562e+00,-4.891307830810546875e+00,-4.774924755096435547e+00,-3.345584630966186523e+00,-3.206707239151000977e+00,-6.679256916046142578e+00,-5.352519035339355469e+00,-3.892436027526855469e+00,-1.935194015502929688e+00,-3.373785018920898438e+00,-5.424157619476318359e+00,-7.045835971832275391e+00,2.464498996734619141e+00
-5.514264106750488281e+00,-8.843287467956542969e+00,-5.472122669219970703e+00,-3.914107322692871094e+00,-5.604998111724853516e+00,-6.923940658569335938e+00,-5.607796192169189453e+00,-8.197574019432067871e-01,-1.701516389846801758e+00,-3.140102386474609375e+00,-4.825316429138183594e+00,-1.510054945945739746e+00,-1.391880273818969727e+00,-1.564378261566162109e+00,-1.557212471961975098e+00,-3.167617797851562500e+00,-3.279406547546386719e+00,-3.555505990982055664e+00,-2.312447786331176758e+00,-3.222603321075439453e+00,-4.128921031951904297e+00,-5.003842830657958984e+00,-7.107284545898437500e+00,-3.383132696151733398e+00,-2.429184436798095703e+00,-4.714907646179199219e+00,-1.019362640380859375e+01,-1.038367271423339844e+01,-1.235702419281005859e+01,-1.213235282897949219e+01,-8.352322578430175781e+00,1.675333619117736816e+00
