Fp1,Fp2,F7,F3,Fz,F4,F8,FT7,FC3,FCz,FC4,FT8,T3,C3,Cz,C4,T4,TP7,CP3,CPz,CP4,TP8,T5,P3,Pz,P4,T6,O1,Oz,O2,A1,A2
-4.959008216857910156e+00,-5.218342304229736328e+00,-4.767210960388183594e+00,-5.699118137359619141e+00,-6.299721717834472656e+00,-3.358174324035644531e+00,-5.234236642718315125e-02,-3.396141827106475830e-01,-6.247964859008789062e+00,-9.137657165527343750e+00,-3.008156299591064453e+00,-9.953271597623825073e-02,-1.828631639480590820e+00,-3.505522489547729492e+00,-2.838080167770385742e+00,-1.288053035736083984e+00,-2.951635420322418213e-02,2.468601226806640625e+00,2.981596231460571289e+00,3.842944860458374023e+00,5.714880943298339844e+00,6.647386074066162109e+00,5.454405307769775391e+00,-1.808928728103637695e+00,-4.250537395477294922e+00,-3.200052976608276367e+00,-4.058361947536468506e-01,-1.401123046875000000e+00,-3.370751380920410156e+00,-2.804249763488769531e+00,-1.715137481689453125e+00,1.174565196037292480e+00
5.016151905059814453e+00,9.078318595886230469e+00,8.848454475402832031e+00,7.417703151702880859e+00,5.877702236175537109e+00,4.234400749206542969e+00,5.733716964721679688e+00,6.073698520660400391e+00,6.000201702117919922e+00,1.217579245567321777e+00,4.827893733978271484e+00,6.722446918487548828e+00,4.892900466918945312e+00,-9.353178143501281738e-01,1.713403344154357910e+00,8.007439613342285156e+00,1.144371986389160156e+01,1.230194950103759766e+01,1.038340091705322266e+01,1.233627033233642578e+01,1.574240112304687500e+01,1.753508758544921875e+01,1.075180912017822266e+01,8.303311347961425781e+00,1.067692184448242188e+01,1.052273464202880859e+01,8.187974929809570312e+00,9.819533348083496094e+00,1.107084560394287109e+01,1.264495849609375000e+01,1.198771667480468750e+01,8.267747879028320312e+00
-5.305945873260498047e+00,-5.708420753479003906e+00,-5.115498065948486328e+00,-4.580869197845458984e+00,-5.595598697662353516e+00,-6.257577896118164062e+00,-6.936681270599365234e+00,-5.892654895782470703e+00,-4.494122982025146484e+00,-5.953715801239013672e+00,-5.704457759857177734e+00,-6.990243911743164062e+00,-9.291377067565917969e+00,-1.166341209411621094e+01,-8.962039947509765625e+00,-3.528296232223510742e+00,-3.165805578231811523e+00,-4.430643558502197266e+00,-5.147616863250732422e+00,-1.527984499931335449e+00,2.779386043548583984e+00,3.908513069152832031e+00,-2.204847574234008789e+00,-4.548650741577148438e+00,-3.211109638214111328e+00,-5.754035472869873047e+00,-7.013641357421875000e+00,-7.902808666229248047e+00,-8.241691589355468750e+00,-8.705540657043457031e+00,-8.653054237365722656e+00,-1.473762702941894531e+01
-1.439242076873779297e+01,-1.416728687286376953e+01,-1.387265968322753906e+01,-1.355533885955810547e+01,-1.412004184722900391e+01,-1.203873157501220703e+01,-1.102305221557617188e+01,-8.510227203369140625e+00,-1.264692497253417969e+01,-1.529390811920166016e+01,-1.291216945648193359e+01,-1.090685367584228516e+01,-1.377185726165771484e+01,-1.222827148437500000e+01,-1.139288806915283203e+01,-1.364315605163574219e+01,-1.454261016845703125e+01,-1.420611381530761719e+01,-1.102071094512939453e+01,-1.239790630340576172e+01,-9.173509597778320312e+00,-6.335439682006835938e+00,-6.804280757904052734e+00,-1.521422386169433594e+01,-1.711975669860839844e+01,-1.602442741394042969e+01,-1.055405139923095703e+01,-1.443758010864257812e+01,-1.683072090148925781e+01,-1.928494262695312500e+01,-1.981504440307617188e+01,-2.328144264221191406e+01
-1.855300307273864746e+00,-5.683555603027343750e+00,-7.317905902862548828e+00,-6.155641555786132812e+00,-3.097582817077636719e+00,-2.358199834823608398e+00,-8.157039284706115723e-01,-4.923304915428161621e-01,-2.146820783615112305e+00,-6.146213054656982422e+00,-3.790355920791625977e+00,-1.704680919647216797e+00,2.046432733535766602e+00,3.443197965621948242e+00,4.473532199859619141e+00,1.266076266765594482e-01,3.354838192462921143e-01,2.321119785308837891e+00,6.292436599731445312e+00,2.821835279464721680e+00,1.574895262718200684e+00,-7.328357696533203125e-01,-1.853468060493469238e+00,-2.151939630508422852e+00,-8.491040766239166260e-02,-1.033151745796203613e+00,-2.473321914672851562e+00,-2.381503582000732422e+00,-1.601719379425048828e+00,-3.304274320602416992e+00,-6.759109973907470703e+00,-8.304176330566406250e+00
-4.496068477630615234e+00,-1.012456989288330078e+01,-1.055807781219482422e+01,-9.478085517883300781e+00,-6.954708099365234375e+00,-7.989452362060546875e+00,-9.054026603698730469e+00,-8.594384193420410156e+00,-4.117134094238281250e+00,-3.700339078903198242e+00,-7.383819103240966797e+00,-1.048354816436767578e+01,-4.394934177398681641e+00,2.283797711133956909e-01,4.645661354064941406e+00,2.879104375839233398e+00,3.793525099754333496e-01,1.942932367324829102e+00,5.728631019592285156e+00,6.321047306060791016e+00,2.130661010742187500e+00,-6.422728061676025391e+00,-8.855817794799804688e+00,-3.620785713195800781e+00,1.511927042156457901e-02,-4.798298358917236328e+00,-1.001104831695556641e+01,-8.540276527404785156e+00,-6.564767360687255859e+00,-5.840096950531005859e+00,-8.289426803588867188e+00,-7.967542648315429688e+00
-1.469536590576171875e+01,-1.610510444641113281e+01,-1.162232875823974609e+01,-1.224331760406494141e+01,-1.519721889495849609e+01,-1.816046333312988281e+01,-1.780662918090820312e+01,-1.261434364318847656e+01,-9.664505958557128906e+00,-7.381376266479492188e+00,-1.112136459350585938e+01,-1.278554248809814453e+01,-1.207823848724365234e+01,-1.102345561981201172e+01,-1.216464614868164062e+01,-1.135301303863525391e+01,-1.284884166717529297e+01,-1.196035957336425781e+01,-9.690356254577636719e+00,-6.178439617156982422e+00,-6.065455913543701172e+00,-1.122708320617675781e+01,-1.086176204681396484e+01,-1.474538040161132812e+01,-1.403845405578613281e+01,-1.553522491455078125e+01,-1.193968296051025391e+01,-1.536541461944580078e+01,-1.687183952331542969e+01,-1.454930019378662109e+01,-1.322056102752685547e+01,-1.740743255615234375e+01
3.012790918350219727e+00,2.001145124435424805e+00,5.149454116821289062e+00,4.998731136322021484e+00,1.849684000015258789e+00,6.314976215362548828e-01,1.918991446495056152e+00,5.167515277862548828e+00,5.170876026153564453e+00,7.368187427520751953e+00,7.318934917449951172e+00,7.635746955871582031e+00,5.600749015808105469e+00,1.016449332237243652e+00,-4.786195755004882812e+00,-3.742282152175903320e+00,-4.957914650440216064e-01,8.694619536399841309e-01,2.936852693557739258e+00,5.220951557159423828e+00,6.634864807128906250e+00,3.848926067352294922e+00,4.435967445373535156e+00,3.209861993789672852e+00,7.040654659271240234e+00,5.628797531127929688e+00,6.354096412658691406e+00,2.212337017059326172e+00,1.555550813674926758e+00,3.734197854995727539e+00,5.960764884948730469e+00,-1.180039271712303162e-01
1.331299972534179688e+01,1.002672004699707031e+01,8.518064498901367188e+00,9.321757316589355469e+00,9.906661987304687500e+00,1.212450599670410156e+01,1.152434062957763672e+01,9.882503509521484375e+00,9.748874664306640625e+00,8.836817741394042969e+00,9.509939193725585938e+00,8.320059776306152344e+00,9.266814231872558594e+00,7.802295207977294922e+00,8.977636337280273438e+00,9.411828994750976562e+00,1.013645076751708984e+01,9.555122375488281250e+00,1.132648658752441406e+01,1.307086563110351562e+01,1.038283729553222656e+01,6.448737144470214844e+00,5.569224834442138672e+00,1.091969490051269531e+01,1.407880687713623047e+01,1.369281768798828125e+01,9.445547103881835938e+00,1.002944755554199219e+01,1.234067153930664062e+01,1.267228412628173828e+01,1.215473842620849609e+01,1.258170700073242188e+01
-2.097131490707397461e+00,-5.594874382019042969e+00,-5.022155761718750000e+00,-5.216146945953369141e+00,-5.937634944915771484e+00,-5.380519866943359375e+00,-5.538044929504394531e+00,-6.029281139373779297e+00,-4.971680164337158203e+00,-6.570508003234863281e+00,-8.448896408081054688e+00,-1.296085071563720703e+01,-8.341886520385742188e+00,-5.142266750335693359e+00,-2.753068685531616211e+00,-3.647047519683837891e+00,-6.637253284454345703e+00,-8.690051078796386719e+00,-6.703492641448974609e+00,-7.289731502532958984e+00,-1.015311527252197266e+01,-1.169733047485351562e+01,-1.300635528564453125e+01,-8.006268501281738281e+00,-6.461012840270996094e+00,-6.125373363494873047e+00,-1.005393886566162109e+01,-6.110507965087890625e+00,-6.397658348083496094e+00,-8.436009407043457031e+00,-9.889982223510742188e+00,-2.320443391799926758e+00
