AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
3.942491114139556885e-01,-5.305971503257751465e-01,1.061050370335578918e-01,-2.833336293697357178e-01,1.920311152935028076e-01,-6.352271437644958496e-01,9.161093831062316895e-01,-7.687155157327651978e-02,-2.828207612037658691e-01,-1.786617189645767212e-01,3.232821524143218994e-01,2.009478658437728882e-01,-1.644997298717498779e-01,-1.124848127365112305e-01
3.615956008434295654e-01,-8.976735472679138184e-01,2.708402276039123535e-01,-3.252793848514556885e-01,6.030625104904174805e-02,-5.366975069046020508e-01,6.232255101203918457e-01,-1.571293622255325317e-01,-2.690967731177806854e-02,-3.630761802196502686e-01,2.350447922945022583e-01,4.302819445729255676e-02,-2.103186249732971191e-01,-1.785891503095626831e-01
2.347026318311691284e-01,-4.658253192901611328e-01,2.900575101375579834e-01,-2.503038644790649414e-01,4.892819747328758240e-02,-5.258966088294982910e-01,7.011234164237976074e-01,-1.741866618394851685e-01,3.150591254234313965e-02,-3.173360824584960938e-01,3.027677237987518311e-01,9.602881968021392822e-02,-2.130637466907501221e-01,-2.657341659069061279e-01
-5.236459895968437195e-02,-4.837004244327545166e-01,3.495738506317138672e-01,-2.800024151802062988e-01,3.317859023809432983e-02,-5.607337355613708496e-01,7.205423712730407715e-01,-1.213555112481117249e-01,-1.617978215217590332e-01,-5.440950393676757812e-01,1.233563497662544250e-01,3.804597631096839905e-02,-1.612310409545898438e-01,-2.953487038612365723e-01
1.383756846189498901e-01,-4.858585298061370850e-01,2.378994524478912354e-01,-4.187349230051040649e-03,4.653509706258773804e-02,-2.444805204868316650e-01,7.203185558319091797e-01,-4.014124572277069092e-01,-3.123809993267059326e-01,-2.959566116333007812e-01,3.571100234985351562e-01,1.828689724206924438e-01,-3.126179054379463196e-02,-9.929045289754867554e-02
-3.277977928519248962e-02,-4.019228219985961914e-01,3.995296955108642578e-01,-3.719225227832794189e-01,1.890383362770080566e-01,-4.975225329399108887e-01,4.478216767311096191e-01,-2.461199909448623657e-01,-2.636149823665618896e-01,-4.328546822071075439e-01,-1.922027766704559326e-02,-9.932239539921283722e-03,-8.865200728178024292e-02,-4.512785375118255615e-01
-7.274508476257324219e-02,-6.733642220497131348e-01,3.223935365676879883e-01,-1.907838433980941772e-01,2.120437324047088623e-01,-2.470920830965042114e-01,4.265999495983123779e-01,-1.682123839855194092e-01,-2.208165526390075684e-01,-2.494359016418457031e-01,7.279513776302337646e-02,2.034707218408584595e-01,-1.848616451025009155e-01,7.952149026095867157e-03
-1.076844856142997742e-01,-6.975237727165222168e-01,3.190848231315612793e-01,-1.848247498273849487e-01,7.608026266098022461e-02,-2.537332773208618164e-01,3.655309677124023438e-01,-3.304198980331420898e-01,-2.066272497177124023e-01,-1.509723961353302002e-01,8.802785724401473999e-02,2.790149450302124023e-01,-2.236644327640533447e-01,-2.023212909698486328e-01
-1.130338385701179504e-01,-5.873287320137023926e-01,1.854158341884613037e-01,-1.098584234714508057e-01,1.224482357501983643e-01,-2.215497642755508423e-01,5.368151664733886719e-01,-3.495379686355590820e-01,-3.844244182109832764e-01,-3.281227350234985352e-01,7.025968283414840698e-02,1.804251670837402344e-01,-4.129047691822052002e-01,-1.822400987148284912e-01
-4.121349379420280457e-02,-4.157885909080505371e-01,4.513143002986907959e-01,-6.893836706876754761e-02,3.447579741477966309e-01,-3.198171854019165039e-01,6.689048409461975098e-01,-3.131302893161773682e-01,-4.050861895084381104e-01,-1.362784653902053833e-01,-1.481516379863023758e-02,-4.293569829314947128e-03,-4.440838098526000977e-01,-2.743296921253204346e-01
