AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
-4.942886233329772949e-01,7.199354171752929688e-01,-6.768414378166198730e-02,-1.187202781438827515e-01,1.710689812898635864e-01,7.072237879037857056e-02,-1.266288757324218750e-02,-3.742779791355133057e-01,-5.848841071128845215e-01,-1.854826696217060089e-02,-6.736449599266052246e-01,4.366398453712463379e-01,-2.195981442928314209e-01,-6.103692054748535156e-01
-5.191826820373535156e-01,5.125957131385803223e-01,-1.063681319355964661e-01,2.000515535473823547e-02,1.974274218082427979e-01,4.619479924440383911e-02,-9.966111974790692329e-04,-5.153044462203979492e-01,-6.185678839683532715e-01,-6.791863590478897095e-02,-5.522148609161376953e-01,3.951724767684936523e-01,-1.146261096000671387e-01,-4.757801294326782227e-01
-7.539319396018981934e-01,7.020732164382934570e-01,-6.688399612903594971e-02,3.468486964702606201e-01,3.151074349880218506e-01,1.580635309219360352e-01,1.729971356689929962e-02,-5.982578992843627930e-01,-4.849237203598022461e-01,6.574489176273345947e-02,-8.137035965919494629e-01,5.615236163139343262e-01,1.082386150956153870e-01,-4.515141546726226807e-01
-9.349862337112426758e-01,7.808654904365539551e-01,-1.368832886219024658e-01,2.363029718399047852e-01,3.222221434116363525e-01,-1.431817188858985901e-02,-6.824179738759994507e-02,-3.805128335952758789e-01,-4.537725150585174561e-01,1.426384001970291138e-01,-6.127615571022033691e-01,2.314734756946563721e-01,3.348286822438240051e-02,-6.359889507293701172e-01
-1.104734539985656738e+00,8.486266732215881348e-01,-1.749987453222274780e-01,-3.233499452471733093e-02,2.493732869625091553e-01,-4.893684014678001404e-02,-8.457881957292556763e-02,-4.122226238250732422e-01,-5.774433612823486328e-01,2.341831177473068237e-01,-7.020224928855895996e-01,3.558439612388610840e-01,9.330213814973831177e-02,-5.229981541633605957e-01
-8.173153996467590332e-01,8.209340572357177734e-01,4.725160542875528336e-03,2.777741551399230957e-01,4.208019375801086426e-01,2.279401943087577820e-02,-1.382125914096832275e-01,-1.984392255544662476e-01,-5.385406613349914551e-01,1.898068338632583618e-01,-7.558002471923828125e-01,2.401755303144454956e-01,1.041619926691055298e-01,-6.723994612693786621e-01
-9.935921430587768555e-01,8.491560816764831543e-01,-1.184066981077194214e-01,4.824472963809967041e-01,2.773728072643280029e-01,1.338558346033096313e-01,-1.394191086292266846e-01,-1.999068856239318848e-01,-5.589851737022399902e-01,1.144656985998153687e-01,-8.157547116279602051e-01,4.939839243888854980e-01,-3.592934086918830872e-02,-6.363716721534729004e-01
-1.006118535995483398e+00,7.943794727325439453e-01,7.588384300470352173e-02,3.584460616111755371e-01,2.233555614948272705e-01,1.407324820756912231e-01,-2.110810279846191406e-01,-2.531883418560028076e-01,-3.715645372867584229e-01,2.206553071737289429e-01,-9.145234227180480957e-01,3.560732901096343994e-01,-6.813225895166397095e-02,-4.609099328517913818e-01
-1.022983193397521973e+00,8.568837642669677734e-01,9.572567790746688843e-02,3.615327775478363037e-01,3.786006867885589600e-01,-6.915993243455886841e-02,1.602168567478656769e-02,-2.535872161388397217e-01,-7.733160257339477539e-01,4.247619807720184326e-01,-7.761139869689941406e-01,3.235903978347778320e-01,1.375129520893096924e-01,-2.524011731147766113e-01
-1.058660745620727539e+00,1.091268777847290039e+00,2.045485377311706543e-01,1.974215060472488403e-01,2.634020745754241943e-01,8.603787049651145935e-03,4.522829875349998474e-02,-2.328173518180847168e-01,-6.397289633750915527e-01,3.161532282829284668e-01,-8.478489518165588379e-01,3.080644905567169189e-01,-1.193428877741098404e-02,-2.244729995727539062e-01
-8.212548494338989258e-01,9.465233683586120605e-01,1.826302558183670044e-01,3.737725019454956055e-01,3.426128625869750977e-01,6.279485300183296204e-03,1.106331124901771545e-01,-1.585814654827117920e-01,-5.486207008361816406e-01,2.837569117546081543e-01,-7.573317289352416992e-01,2.384511381387710571e-01,8.114363253116607666e-02,-4.266418814659118652e-01
-1.062319993972778320e+00,8.439877629280090332e-01,5.098081827163696289e-01,2.551076412200927734e-01,3.656982779502868652e-01,-1.880066096782684326e-01,1.922187656164169312e-01,5.237107723951339722e-02,-4.752679169178009033e-01,1.822804808616638184e-01,-8.011296987533569336e-01,4.570657312870025635e-01,4.972310736775398254e-02,-4.807820320129394531e-01
-9.063074588775634766e-01,8.500406742095947266e-01,2.410658001899719238e-01,3.143683671951293945e-01,3.350734114646911621e-01,-1.879242807626724243e-01,1.688180267810821533e-01,-8.881969749927520752e-02,-5.442854762077331543e-01,4.567280411720275879e-01,-8.039324879646301270e-01,3.711672127246856689e-01,-4.732443019747734070e-02,-2.889010608196258545e-01
-8.831510543823242188e-01,7.423219084739685059e-01,3.821901082992553711e-01,3.079446256160736084e-01,6.213979125022888184e-01,-1.219789087772369385e-01,5.013437196612358093e-02,2.448734641075134277e-02,-6.461803317070007324e-01,3.164248466491699219e-01,-7.762597799301147461e-01,4.003043770790100098e-01,2.317961491644382477e-02,-5.848088264465332031e-01
-1.054677009582519531e+00,6.879071593284606934e-01,3.585116565227508545e-01,6.432461142539978027e-01,4.522559940814971924e-01,-4.309558570384979248e-01,1.624043285846710205e-01,-2.179729938507080078e-01,-4.065998494625091553e-01,4.521991610527038574e-01,-9.418171644210815430e-01,4.592029750347137451e-01,1.853256374597549438e-01,-4.342170059680938721e-01
-8.214781284332275391e-01,7.116410136222839355e-01,6.036784052848815918e-01,5.584341883659362793e-01,3.641456365585327148e-01,-4.290180206298828125e-01,1.706542670726776123e-01,-2.639443278312683105e-01,-2.946640253067016602e-01,4.209666252136230469e-01,-9.803849458694458008e-01,3.416396379470825195e-01,1.151702627539634705e-01,-4.839374721050262451e-01
-9.667073488235473633e-01,4.839597940444946289e-01,5.956819057464599609e-01,6.421279907226562500e-01,3.666696846485137939e-01,-2.799067795276641846e-01,2.067118734121322632e-01,-1.690132766962051392e-01,-6.127773523330688477e-01,4.448380768299102783e-01,-9.186961650848388672e-01,6.540451049804687500e-01,7.799026370048522949e-02,-4.373997747898101807e-01
-8.335564732551574707e-01,4.518002271652221680e-01,4.808605909347534180e-01,3.857717812061309814e-01,4.125449955463409424e-01,-5.585374832153320312e-01,3.859423398971557617e-01,-1.055417302995920181e-02,-4.092088639736175537e-01,5.470058321952819824e-01,-8.437127470970153809e-01,6.361863613128662109e-01,1.671887040138244629e-01,-3.135652244091033936e-01
-8.360648155212402344e-01,2.446924448013305664e-01,6.464192271232604980e-01,5.522222518920898438e-01,3.508936464786529541e-01,-4.623200595378875732e-01,3.546055853366851807e-01,-1.048768907785415649e-01,-3.278278708457946777e-01,4.114908576011657715e-01,-8.978449702262878418e-01,4.967232644557952881e-01,2.805787920951843262e-01,-7.329372167587280273e-01
-7.657139301300048828e-01,3.748722374439239502e-01,7.780773639678955078e-01,4.452164769172668457e-01,3.649801611900329590e-01,-5.428436398506164551e-01,2.690433859825134277e-01,1.618688553571701050e-02,-3.862948119640350342e-01,4.060814976692199707e-01,-9.158746600151062012e-01,4.863130152225494385e-01,1.556706875562667847e-01,-4.646722674369812012e-01
-6.838575005531311035e-01,3.207803070545196533e-01,7.250254154205322266e-01,4.653066098690032959e-01,3.939090669155120850e-01,-3.351699709892272949e-01,4.323266446590423584e-01,6.019337847828865051e-02,-3.141090869903564453e-01,5.964264273643493652e-01,-9.334358572959899902e-01,5.905659794807434082e-01,3.829130232334136963e-01,-4.795595407485961914e-01
-8.041720986366271973e-01,1.939375698566436768e-01,9.509755969047546387e-01,6.067861914634704590e-01,3.769653439521789551e-01,-5.720586776733398438e-01,3.319011330604553223e-01,-1.519181132316589355e-01,-4.418647885322570801e-01,5.434329509735107422e-01,-7.876412272453308105e-01,6.423986554145812988e-01,2.151203304529190063e-01,-5.329455137252807617e-01
-7.447718977928161621e-01,3.508180752396583557e-02,7.908214926719665527e-01,5.756906867027282715e-01,6.498389244079589844e-01,-4.343934357166290283e-01,2.653519213199615479e-01,4.023817181587219238e-02,-4.720064699649810791e-01,4.078139662742614746e-01,-7.869977355003356934e-01,7.027743458747863770e-01,1.625200808048248291e-01,-5.040311813354492188e-01
-8.170785307884216309e-01,-1.458073779940605164e-02,9.357180595397949219e-01,5.766085982322692871e-01,3.653769195079803467e-01,-5.003580451011657715e-01,3.624560832977294922e-01,1.108946949243545532e-01,-2.266883105039596558e-01,5.982061028480529785e-01,-7.541100382804870605e-01,5.836108326911926270e-01,2.371028065681457520e-01,-4.804426431655883789e-01
-7.284573316574096680e-01,-5.684434995055198669e-02,9.404291510581970215e-01,4.037107825279235840e-01,5.757915973663330078e-01,-5.061147212982177734e-01,4.372989237308502197e-01,9.205915778875350952e-02,-2.878468036651611328e-01,6.575911045074462891e-01,-6.636099815368652344e-01,5.189704298973083496e-01,4.335659444332122803e-01,-5.066277980804443359e-01
